Name,Rate,Vote,Year,Director,Star,Summary
Arthur Christmas,7.1,57068.0,2011,"Sarah Smith, Barry Cook","James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie",Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.
Spider-Man: Across the Spider-Verse - Part One,,,2022,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Issa Rae","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the ...                See full summary »
"
Frozen,7.4,598883.0,2013,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Santa Inc.,1.4,13141.0,2021,,"Sarah Silverman, Seth Rogen, Maria Bamford, Joel Kim Booster",An elf working in Santa's Workshop in the North Pole dreams of becoming Santa Claus someday.
The Star,6.3,7834.0,2017,Timothy Reckart,"Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez",A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.
A Charlie Brown Christmas,8.4,35874.0,1965,Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez","Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas."
Big Mouth,7.9,70704.0,2017,,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas",Teenage friends find their lives upended by the wonders and horrors of puberty.
Santa Claus Is Comin' to Town,7.7,14286.0,1970,"Jules Bass, Arthur Rankin Jr.","Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees",A mailman reveals the origin of Santa Claus.
The Bad Guys,,,2022,Pierre Perifel,"Sam Rockwell, Awkwafina, Anthony Ramos, Marc Maron","Mr. Wolf, Mr. Snake, Mr. Piranha, Mr. Shark and Ms. Tarantula hatch a plot to pull off the ultimate heist."
JoJo's Bizarre Adventure,8.4,16981.0,2012,,"Matthew Mercer, David Vincent, Daisuke Ono, Unshô Ishizuka","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
South Park: Post COVID,7.6,6528.0,2021,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Mona Marshall","What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid."
BoJack Horseman,8.7,134437.0,2014–2020,,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
Rise of the Guardians,7.3,167057.0,2012,Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
Moana,7.6,304452.0,2016,"Ron Clements, John Musker, Don Hall, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Invincible,8.7,99896.0,2021,,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
Raya and the Last Dragon,7.3,125289.0,2021,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa","Kelly Marie Tran, Awkwafina, Gemma Chan, Izaac Wang","In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
Luca,7.5,124425.0,2021,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo","On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human."
Young Justice,8.6,36983.0,2010,,"Nolan North, Danica McKellar, Stephanie Lemelin, Jesse McCartney",Teenage superheroes strive to prove themselves as members of the Justice League.
Cowboy Bebop,8.9,106202.0,1998–1999,,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
South Park: Post Covid - The Return of Covid,7.6,2427.0,2021,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks","If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened and save Kenny's life. Traveling back to the past seems to be the easy answer until they meet Victor Chaos."
My Hero Academia,8.4,50751.0,2016,,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
The Year Without a Santa Claus,7.7,9485.0,1974,"Jules Bass, Arthur Rankin Jr.","Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving","When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind."
Avatar: The Last Airbender,9.3,280526.0,2005–2008,,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
The Mitchells vs the Machines,7.7,82011.0,2021,"Michael Rianda, Jeff Rowe","Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
