Name,Rate,Vote,Year,Director,Star,Summary
Scream,7.3,313888.0,1996,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
Black Christmas,7.2,38742.0,1974,Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon","During their Christmas break, a group of sorority girls are stalked by a stranger."
Hellbound,6.7,16487.0,2021,,"Yoo Ah-in, Kim Hyun-joo, Jeong Min Park, Jin-ah Won","People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them."
JoJo's Bizarre Adventure,8.4,16981.0,2012,,"Matthew Mercer, David Vincent, Daisuke Ono, Unshô Ishizuka","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
Army of the Dead,5.7,157676.0,2021,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted."
American Psycho,7.6,539093.0,2000,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Better Watch Out,6.5,36136.0,2016,Chris Peckover,"Olivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic","On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion."
Malignant,6.3,66845.0,2021,James Wan,"Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
Five Nights at Freddy's: Security Breach,7.8,158.0,2021 Video Game,Scott Cawthon,"Andy Field, Kellen Goff, Heather Masters, Cameron Miller","Play as Gregory, a young boy who's been trapped overnight inside of Freddy Fazbear's Mega Pizzaplex. With the help of Freddy himself, Gregory must uncover the secrets of the Pizzaplex, learn the truth, and survive until dawn."
The Black Phone,7.8,481.0,2021,Scott Derrickson,"Ethan Hawke, Madeleine McGraw, Jeremy Davies, James Ransone","After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims."
The Originals,8.2,127515.0,2013–2018,,"Joseph Morgan, Daniel Gillies, Claire Holt, Phoebe Tonkin",A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
Alien,8.4,835419.0,1979,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
A Quiet Place Part II,7.3,181375.0,2020,John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
Candyman,5.9,45770.0,2021,Nia DaCosta,"Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo",A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.
The Lost Boys,7.3,134695.0,1987,Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes","After moving to a new town, two brothers discover that the area is a haven for vampires."
The Killing of a Sacred Deer,7.0,140204.0,2017,Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
The Haunting of Hill House,8.6,216160.0,2018,,"Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
Don't Breathe 2,6.1,38531.0,2021,Rodo Sayagues,"Stephen Lang, Madelyn Grace, Brendan Sexton III, Adam Young","The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom (Stephen Lang) lives in quiet solace until his past sins catch up to him."
The Shining,8.4,960507.0,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Undead,4.6,2141.0,1957,Roger Corman,"Pamela Duncan, Richard Garland, Allison Hayes, Val Dufour","A beautiful woman is sent back in time via hypnosis to the Middle Ages where she finds she is suspected of being a witch, and subject to being executed."
Scream 4,6.2,136266.0,2011,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
The Night House,6.5,28345.0,2020,David Bruckner,"Rebecca Hall, Sarah Goldberg, Vondie Curtis-Hall, Evan Jonigkeit",A widow begins to uncover her recently deceased husband's disturbing secrets.
Elves,5.6,3330.0,2021,,"Vivelill Søgaard Holm, Ann Eleonora Jørgensen, Sonja Steen, Peder Thomas Pedersen",A Christmas vacation turns into a nightmare for a teenager and her family when they discover an ancient menace that stalks their island getaway.
