Name,Rate,Vote,Year,Director,Star,Summary
Only Murders in the Building,8.1,50225.0,2021,,"Steve Martin, Martin Short, Selena Gomez, Aaron Dominguez",Three strangers who share an obsession with true crime suddenly find themselves caught up in one.
Westworld,8.6,460233.0,2016,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence."
Riverdale,6.7,134722.0,2017,,"Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Midsomer Murders,7.8,29687.0,1997,,"John Nettles, Jane Wymark, Barry Jackson, Neil Dudgeon",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
The Vampire Diaries,7.7,303036.0,2009–2017,,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
The Witcher: Nightmare of the Wolf,7.3,35523.0,2021,Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
Mare of Easttown,8.5,122302.0,2021,,"Kate Winslet, Julianne Nicholson, Jean Smart, Angourie Rice",A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.
Harry Potter and the Goblet of Fire,7.7,585201.0,2005,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Big Sky,6.8,13878.0,2020,,"Katheryn Winnick, Kylie Bunbury, Brian Geraghty, Dedee Pfeiffer",A private detective teams up with an ex-cop to solve a kidnapping case in Montana.
Bones,7.8,150100.0,2005–2017,,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
House M.D.,8.7,438043.0,2004–2012,,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
The Lighthouse,7.5,180901.0,2019,Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
Lost,8.3,525929.0,2004–2010,,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
The Sinner,7.9,106025.0,2017–2021,,"Bill Pullman, Jessica Hecht, Dohn Norwood, Adam LeFevre",Anthology series that examines how and why ordinary people commit brutal crimes.
Legacies,7.4,26387.0,2018,,"Danielle Rose Russell, Aria Shahghasemi, Quincy Fouse, Matthew Davis","Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world."
True Detective,8.9,531015.0,2014–2019,,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
Wind River,7.7,231568.0,2017,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
Old,5.8,75249.0,2021,M. Night Shyamalan,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
Killers of the Flower Moon,,,2022,Martin Scorsese,"Leonardo DiCaprio, Jesse Plemons, Robert De Niro, Brendan Fraser",Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.
Sherlock,9.1,865954.0,2010–2017,,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Vigil,7.3,14379.0,2021,,"Suranne Jones, Rose Leslie, Shaun Evans, Paterson Joseph",The mysterious disappearance of a Scottish fishing trawler and a death onboard a Trident nuclear submarine bring the police into conflict with the Navy and British security services.
Harry Potter and the Deathly Hallows: Part 2,8.1,817592.0,2011,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Pig,6.9,44820.0,2021,Michael Sarnoski,"Nicolas Cage, Alex Wolff, Adam Arkin, Cassandra Violet",A truffle hunter who lives alone in the Oregonian wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.
