Name,Rate,Vote,Year,Director,Star,Summary
Guardians of the Galaxy,8.0,1111574.0,2014,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
The Unbearable Weight of Massive Talent,,,2022,Tom Gormican,"Nicolas Cage, Pedro Pascal, Neil Patrick Harris, Tiffany Haddish","A cash-strapped Nicolas Cage agrees to make a paid appearance at a billionaire super fan's birthday party, but is really an informant for the CIA since the billionaire fan is a drug kingpin and gets cast in a Tarantino movie."
JoJo's Bizarre Adventure,8.4,16981.0,2012,,"Matthew Mercer, David Vincent, Daisuke Ono, Unshô Ishizuka","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
Deadpool,8.0,967088.0,2016,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Rise of the Guardians,7.3,167057.0,2012,Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
Deadpool 2,7.7,532065.0,2018,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Doom Patrol,7.9,47288.0,2019,,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
Operation Fortune: Ruse de guerre,,,2022,Guy Ritchie,"Cary Elwes, Jason Statham, Hugh Grant, Aubrey Plaza",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
Peacemaker,,,2022,,"John Cena, Robert Patrick, Jennifer Holland, Freddie Stroma",The origin of the DC superhero so dedicated to world peace that he is prepared to use force of arms to achieve it.
Raya and the Last Dragon,7.3,125289.0,2021,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa","Kelly Marie Tran, Awkwafina, Gemma Chan, Izaac Wang","In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
Cowboy Bebop,8.9,106202.0,1998–1999,,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
Bad Boys for Life,6.5,149166.0,2020,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
Jumanji: The Next Level,6.7,226585.0,2019,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
Hitman's Wife's Bodyguard,6.1,65039.0,2021,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Antonio Banderas",The bodyguard Michael Bryce continues his friendship with assassin Darius Kincaid as they try to save Darius' wife Sonia.
My Hero Academia,8.4,50751.0,2016,,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
She-Hulk,,,2022,,"Tatiana Maslany, Mark Ruffalo, Tim Roth, Jameela Jamil",Jennifer Walters acquires Hulk-like qualities.
Sonic the Hedgehog,6.5,111708.0,2020,Jeff Fowler,"Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
Guardians of the Galaxy Vol. 2,7.6,625643.0,2017,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
Chuck,8.2,133200.0,2007–2012,,"Zachary Levi, Yvonne Strahovski, Joshua Gomez, Vik Sahay","When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down."
Riders of Justice,7.6,35183.0,2020,Anders Thomas Jensen,"Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg, Lars Brygmann","Markus goes home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up."
Barry,8.3,56481.0,2018,,"Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
RED,7.0,301233.0,2010,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
Naruto: Shippûden,8.6,104758.0,2007–2017,,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
21 Jump Street,7.2,535833.0,2012,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Ice Cube, Brie Larson",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
