Name,Rate,Vote,Year,Director,Star,Summary
Law & Order: Special Victims Unit,8.0,95762.0,1999,,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes."
Cowboy Bebop,6.7,30361.0,2021,,"John Cho, Mustafa Shakir, Daniella Pineda, Elena Satine",A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.
Better Call Saul,8.8,369241.0,2015–2022,,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
West Side Story,7.5,105901.0,1961,"Jerome Robbins, Robert Wise","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
The Dark Knight,9.0,2462708.0,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
True Story,7.6,12482.0,2021,,"Kevin Hart, Wesley Snipes, William Catlett, Paul Adelstein",A tour stop in Kid's hometown of Philadelphia becomes a matter of life and death for one of the world's most famous comedians.
Castle,8.1,152614.0,2009–2016,,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
Aranyak,8.0,4494.0,2021,,"Parambrata Chattopadhyay, Ashutosh Rana, Raveena Tandon, Taneesha Joshi","Political ploys, personal agendas and a beastly myth all surface as two mismatched hill station cops navigate a web of suspects after a puzzling murder."
Ozark,8.4,222133.0,2017–2022,,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Bad Santa,7.0,141105.0,2003,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter",A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.
Brooklyn Nine-Nine,8.4,276177.0,2013–2021,,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
